"","Date.Of.Stop","Time.Of.Stop","Agency","SubAgency","Description","Location","Latitude","Longitude","Accident","Belts","Personal.Injury","Property.Damage","Fatal","Commercial.License","HAZMAT","Commercial.Vehicle","Alcohol","Work.Zone","State","VehicleType","Year","Make","Model","Color","Violation.Type","Charge","Article","Contributed.To.Accident","Race","Gender","Driver.City","Driver.State","DL.State","Arrest.Type","Geolocation","State2"
"197807","08/30/2013","00:47:00","MCP","3rd district, Silver Spring","FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS","BRIGGS CHANEY RD/LEGEND OAKS ROAD",39.06918015,-76.9372623333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2008,"GMC","ACADIA","SILVER","Citation","16-116(a)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","MD","A - Marked Patrol","(39.06918015, -76.9372623333333)","Alabama"
"198120","08/30/2013","00:47:00","MCP","3rd district, Silver Spring","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION","BRIGGS CHANEY RD/LEGEND OAKS ROAD",39.06918015,-76.9372623333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2008,"GMC","ACADIA","SILVER","Citation","16-101(a)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","MD","A - Marked Patrol","(39.06918015, -76.9372623333333)","Alabama"
"198435","08/30/2013","00:47:00","MCP","3rd district, Silver Spring","KNOWINGLY DRIVING UNINSURED VEHICLE","BRIGGS CHANEY RD/LEGEND OAKS ROAD",39.06918015,-76.9372623333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2008,"GMC","ACADIA","SILVER","Citation","17-107","Transportation Article","No","BLACK","M","MONTGOMERY","AL","MD","A - Marked Patrol","(39.06918015, -76.9372623333333)","Alabama"
"198748","08/30/2013","00:47:00","MCP","3rd district, Silver Spring","UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE","BRIGGS CHANEY RD/LEGEND OAKS ROAD",39.06918015,-76.9372623333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2008,"GMC","ACADIA","SILVER","Citation","13-703(g)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","MD","A - Marked Patrol","(39.06918015, -76.9372623333333)","Alabama"
"199060","08/30/2013","00:47:00","MCP","3rd district, Silver Spring","DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS","BRIGGS CHANEY RD/LEGEND OAKS ROAD",39.06918015,-76.9372623333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2008,"GMC","ACADIA","SILVER","Citation","13-411(d)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","MD","A - Marked Patrol","(39.06918015, -76.9372623333333)","Alabama"
"199225","06/05/2015","19:26:00","MCP","5th district, Germantown","DRIVING,  MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION","MIDDLEBROOK RD / BRANDERMILL RD",39.1818833333333,-77.2369966666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2007,"LEXUS","IS250","BLACK","Citation","16-101(a)","Transportation Article","No","BLACK","F","GERMANTOWN","MD","MD","A - Marked Patrol","(39.1818833333333, -77.2369966666667)","Alabama"
"199374","08/30/2013","00:47:00","MCP","3rd district, Silver Spring","FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR","BRIGGS CHANEY RD/LEGEND OAKS ROAD",39.06918015,-76.9372623333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2008,"GMC","ACADIA","SILVER","Citation","13-411(a)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","MD","A - Marked Patrol","(39.06918015, -76.9372623333333)","Alabama"
"199538","06/05/2015","19:26:00","MCP","5th district, Germantown","HOLDER OF LEARNER'S PERMIT DRIVING W/O REQ. SUPERVISION","MIDDLEBROOK RD / BRANDERMILL RD",39.1818833333333,-77.2369966666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2007,"LEXUS","IS250","BLACK","Citation","16-105(b1)","Transportation Article","No","BLACK","F","GERMANTOWN","MD","MD","A - Marked Patrol","(39.1818833333333, -77.2369966666667)","Alabama"
"199687","08/30/2013","00:47:00","MCP","3rd district, Silver Spring","FRAUDULENT POSSESSION OF VEH OWNERSHIP REG. PLATE","BRIGGS CHANEY RD/LEGEND OAKS ROAD",39.06918015,-76.9372623333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2008,"GMC","ACADIA","SILVER","Citation","14-108(a)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","MD","A - Marked Patrol","(39.06918015, -76.9372623333333)","Alabama"
"200002","08/30/2013","00:47:00","MCP","3rd district, Silver Spring","POSSESSING FRAUDULENTLY ALTERED LIC.","BRIGGS CHANEY RD/LEGEND OAKS ROAD",39.06918015,-76.9372623333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2008,"GMC","ACADIA","SILVER","Citation","16-301(l)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","MD","A - Marked Patrol","(39.06918015, -76.9372623333333)","Alabama"
"200311","08/30/2013","00:47:00","MCP","3rd district, Silver Spring","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","BRIGGS CHANEY RD/LEGEND OAKS ROAD",39.06918015,-76.9372623333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2008,"GMC","ACADIA","SILVER","Citation","13-401(b)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","MD","A - Marked Patrol","(39.06918015, -76.9372623333333)","Alabama"
"200622","08/30/2013","00:47:00","MCP","3rd district, Silver Spring","OWNER FAILURE TO SURENDER REG. EVIDENCES WITHIN 48 HOURS AFTER NOTICE OF SUSPENSION","BRIGGS CHANEY RD/LEGEND OAKS ROAD",39.06918015,-76.9372623333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2008,"GMC","ACADIA","SILVER","Citation","17-106(d)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","MD","A - Marked Patrol","(39.06918015, -76.9372623333333)","Alabama"
"200931","08/30/2013","00:47:00","MCP","3rd district, Silver Spring","DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION","BRIGGS CHANEY RD/LEGEND OAKS ROAD",39.06918015,-76.9372623333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2008,"GMC","ACADIA","SILVER","Citation","13-401(h)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","MD","A - Marked Patrol","(39.06918015, -76.9372623333333)","Alabama"
"201240","08/30/2013","00:47:00","MCP","3rd district, Silver Spring","DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE","BRIGGS CHANEY RD/LEGEND OAKS ROAD",39.06918015,-76.9372623333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2008,"GMC","ACADIA","SILVER","Citation","16-115(f)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","MD","A - Marked Patrol","(39.06918015, -76.9372623333333)","Alabama"
"201547","08/30/2013","00:47:00","MCP","3rd district, Silver Spring","POSSESSING FICTITIOUS LIC.","BRIGGS CHANEY RD/LEGEND OAKS ROAD",39.06918015,-76.9372623333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2008,"GMC","ACADIA","SILVER","Citation","16-301(k)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","MD","A - Marked Patrol","(39.06918015, -76.9372623333333)","Alabama"
"201853","08/30/2013","00:47:00","MCP","3rd district, Silver Spring","DISPLAY FICTITIOUS LIC.","BRIGGS CHANEY RD/LEGEND OAKS ROAD",39.06918015,-76.9372623333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2008,"GMC","ACADIA","SILVER","Citation","16-301(f)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","MD","A - Marked Patrol","(39.06918015, -76.9372623333333)","Alabama"
"202070","07/03/2012","00:02:00","MCP","3rd district, Silver Spring","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","GEORGIA AVE/COLESVILLE RD",38.9971847833333,-77.02721425,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"FORD","EXPLORER","BLUE","Citation","13-411(f)","Transportation Article","No","BLACK","F","WHEATON","MD","AL","A - Marked Patrol","(38.9971847833333, -77.02721425)","Alabama"
"205447","06/24/2013","11:58:00","MCP","4th district, Wheaton","DRIVER FAILURE TO STOP AT STOP SIGN LINE","LONGMEAD CROSSING DR AT HOMECREST RD",39.10705775,-77.0547231333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1999,"FORD","WINDSTAR","PURPLE","Citation","21-707(a)","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.10705775, -77.0547231333333)","Alabama"
"205753","06/24/2013","11:58:00","MCP","4th district, Wheaton","DRIVER FAILURE TO GIVE REQUIRED SIGNAL OF INTENTION TO TURN","LONGMEAD CROSSING DR AT HOMECREST RD",39.10705775,-77.0547231333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1999,"FORD","WINDSTAR","PURPLE","Citation","21-604(d)","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.10705775, -77.0547231333333)","Alabama"
"206056","06/24/2013","11:58:00","MCP","4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE","LONGMEAD CROSSING DR AT HOMECREST RD",39.10705775,-77.0547231333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1999,"FORD","WINDSTAR","PURPLE","Citation","16-303(c)","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.10705775, -77.0547231333333)","Alabama"
"206361","06/24/2013","11:58:00","MCP","4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER","LONGMEAD CROSSING DR AT HOMECREST RD",39.10705775,-77.0547231333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1999,"FORD","WINDSTAR","PURPLE","Citation","16-303(h)","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.10705775, -77.0547231333333)","Alabama"
"206665","06/24/2013","11:58:00","MCP","4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE","LONGMEAD CROSSING DR AT HOMECREST RD",39.10705775,-77.0547231333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1999,"FORD","WINDSTAR","PURPLE","Citation","16-303(d)","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.10705775, -77.0547231333333)","Alabama"
"206970","06/24/2013","11:58:00","MCP","4th district, Wheaton","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION","LONGMEAD CROSSING DR AT HOMECREST RD",39.10705775,-77.0547231333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1999,"FORD","WINDSTAR","PURPLE","Citation","16-101(a)","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.10705775, -77.0547231333333)","Alabama"
"207275","06/24/2013","11:58:00","MCP","4th district, Wheaton","DISPLAY SUSPENDED LIC.","LONGMEAD CROSSING DR AT HOMECREST RD",39.10705775,-77.0547231333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1999,"FORD","WINDSTAR","PURPLE","Citation","16-301(e)","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.10705775, -77.0547231333333)","Alabama"
"207578","06/24/2013","11:58:00","MCP","4th district, Wheaton","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","LONGMEAD CROSSING DR AT HOMECREST RD",39.10705775,-77.0547231333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1999,"FORD","WINDSTAR","PURPLE","Citation","13-409(b)","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.10705775, -77.0547231333333)","Alabama"
"207881","06/24/2013","11:58:00","MCP","4th district, Wheaton","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","LONGMEAD CROSSING DR AT HOMECREST RD",39.10705775,-77.0547231333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1999,"FORD","WINDSTAR","PURPLE","Citation","13-411(f)","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.10705775, -77.0547231333333)","Alabama"
"208185","06/24/2013","11:58:00","MCP","4th district, Wheaton","DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS","LONGMEAD CROSSING DR AT HOMECREST RD",39.10705775,-77.0547231333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1999,"FORD","WINDSTAR","PURPLE","Citation","13-411(d)","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.10705775, -77.0547231333333)","Alabama"
"208486","06/24/2013","11:58:00","MCP","4th district, Wheaton","DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION","LONGMEAD CROSSING DR AT HOMECREST RD",39.10705775,-77.0547231333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1999,"FORD","WINDSTAR","PURPLE","Citation","13-401(h)","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.10705775, -77.0547231333333)","Alabama"
"208788","06/24/2013","11:58:00","MCP","4th district, Wheaton","FALSIFYING/ATTEMPT FALSIFY WITH FRAUDULENT INTENT OFFICIAL DOCUMENT/PLATE ISSUED BY AD.","LONGMEAD CROSSING DR AT HOMECREST RD",39.10705775,-77.0547231333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1999,"FORD","WINDSTAR","PURPLE","Citation","14-110(b)","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.10705775, -77.0547231333333)","Alabama"
"209086","06/24/2013","11:58:00","MCP","4th district, Wheaton","KNOWINGLY DRIVING UNINSURED VEHICLE","LONGMEAD CROSSING DR AT HOMECREST RD",39.10705775,-77.0547231333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1999,"FORD","WINDSTAR","PURPLE","Citation","17-107","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.10705775, -77.0547231333333)","Alabama"
"209388","06/24/2013","11:58:00","MCP","4th district, Wheaton","FAILURE NOTIFY ADM. ADDRESS CHANGE","LONGMEAD CROSSING DR AT HOMECREST RD",39.10705775,-77.0547231333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1999,"FORD","WINDSTAR","PURPLE","Citation","16-116(a)","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.10705775, -77.0547231333333)","Alabama"
"210200","05/31/2012","14:14:00","MCP","6th district, Gaithersburg / Montgomery Village","OPERATOR NOT RESTRAINED BY SEATBELT","KENTLANDS BLVD @ BOOTH ST",39.1239691,-77.2399522833333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2004,"DODGE","2C","SILVER","Citation","22-412.3(b)","Transportation Article","No","WHITE","F","GERMANTOWN","MD","MD","L - Motorcycle","(39.1239691, -77.2399522833333)","Alabama"
"213091","07/24/2015","05:46:00","MCP","4th district, Wheaton","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","ICC / EXIT 8 GEORGIA AVE",39.1219016666667,-77.085445,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2001,"TOYOTA","CELICA","BLUE","Citation","13-411(f)","Transportation Article","No","BLACK","M","GAITHERSBURG","MD","MD","A - Marked Patrol","(39.1219016666667, -77.085445)","Alabama"
"219926","09/19/2013","17:19:00","MCP","2nd district, Bethesda","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","EDSON LN @ WOODGLEN DR",39.0399616666667,-77.1140766666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2011,"HONDA","ODYSSEY","WHITE","Citation","21-201(a1)","Transportation Article","No","WHITE","F","ROCKVILLE","MD","AL","A - Marked Patrol","(39.0399616666667, -77.1140766666667)","Alabama"
"229871","02/04/2015","15:03:00","MCP","4th district, Wheaton","OPERATOR NOT RESTRAINED BY SEATBELT","UNIVERSITY BLVD/ CADDINGTON AVE",39.0337533333333,-77.0239833333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1997,"PLYM","VOYAGER","WHITE","Citation","22-412.3(b)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0337533333333, -77.0239833333333)","Alabama"
"230138","02/04/2015","15:03:00","MCP","4th district, Wheaton","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","UNIVERSITY BLVD/ CADDINGTON AVE",39.0337533333333,-77.0239833333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1997,"PLYM","VOYAGER","WHITE","Citation","13-409(b)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0337533333333, -77.0239833333333)","Alabama"
"230406","02/04/2015","15:03:00","MCP","4th district, Wheaton","DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS","UNIVERSITY BLVD/ CADDINGTON AVE",39.0337533333333,-77.0239833333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1997,"PLYM","VOYAGER","WHITE","Citation","13-411(d)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0337533333333, -77.0239833333333)","Alabama"
"230635","03/17/2014","20:45:00","MCP","3rd district, Silver Spring","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","FENTON ST AT WAYNE AVE",38.995,-77.0242516666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2007,"LEXUS","RX 350","SILVER","Citation","13-411(f)","Transportation Article","No","WHITE","M","TAKOMA PARK","MD","MO","A - Marked Patrol","(38.995, -77.0242516666667)","Alabama"
"230669","02/04/2015","15:03:00","MCP","4th district, Wheaton","UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE","UNIVERSITY BLVD/ CADDINGTON AVE",39.0337533333333,-77.0239833333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1997,"PLYM","VOYAGER","WHITE","Citation","13-703(g)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0337533333333, -77.0239833333333)","Alabama"
"230899","03/17/2014","20:45:00","MCP","3rd district, Silver Spring","FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS","FENTON ST AT WAYNE AVE",38.995,-77.0242516666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2007,"LEXUS","RX 350","SILVER","Citation","16-116(a)","Transportation Article","No","WHITE","M","TAKOMA PARK","MD","MO","A - Marked Patrol","(38.995, -77.0242516666667)","Alabama"
"230934","02/04/2015","15:03:00","MCP","4th district, Wheaton","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","UNIVERSITY BLVD/ CADDINGTON AVE",39.0337533333333,-77.0239833333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1997,"PLYM","VOYAGER","WHITE","Citation","13-401(b1)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0337533333333, -77.0239833333333)","Alabama"
"231196","02/04/2015","15:03:00","MCP","4th district, Wheaton","KNOWINGLY DRIVING UNINSURED VEHICLE","UNIVERSITY BLVD/ CADDINGTON AVE",39.0337533333333,-77.0239833333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1997,"PLYM","VOYAGER","WHITE","Citation","17-107","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0337533333333, -77.0239833333333)","Alabama"
"231458","02/04/2015","15:03:00","MCP","4th district, Wheaton","KNOWINGLY USING FALSIFIED VEH. REG. PLATE","UNIVERSITY BLVD/ CADDINGTON AVE",39.0337533333333,-77.0239833333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1997,"PLYM","VOYAGER","WHITE","Citation","14-110(g)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0337533333333, -77.0239833333333)","Alabama"
"231718","02/04/2015","15:03:00","MCP","4th district, Wheaton","KNOWINGLY USING FALSIFIED VEH. DOCUMENT","UNIVERSITY BLVD/ CADDINGTON AVE",39.0337533333333,-77.0239833333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1997,"PLYM","VOYAGER","WHITE","Citation","14-110(g)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0337533333333, -77.0239833333333)","Alabama"
"231845","08/28/2012","14:45:00","MCP","3rd district, Silver Spring","UNAUTHORIZED DISPLAY AND USE OF REG. PLATE","STEWART LA @ OLD COLUMBIA PIKE",39.0431434,-76.9901866166667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1991,"HOND","ACC","GRAY","Citation","13-703(g)","Transportation Article","No","BLACK","M","GERMANTOWN","MD","MD","A - Marked Patrol","(39.0431434, -76.9901866166667)","Alabama"
"231977","02/04/2015","15:03:00","MCP","4th district, Wheaton","PERSON KNOWINGLY INSERTING FALSE INFORMATION ON TEMP. REG. PLATE","UNIVERSITY BLVD/ CADDINGTON AVE",39.0337533333333,-77.0239833333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1997,"PLYM","VOYAGER","WHITE","Citation","13-607(b)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0337533333333, -77.0239833333333)","Alabama"
"232105","08/28/2012","14:45:00","MCP","3rd district, Silver Spring","USE OF SPECIAL REG. PLATE ON UNAUTHORIZED VEH.","STEWART LA @ OLD COLUMBIA PIKE",39.0431434,-76.9901866166667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1991,"HOND","ACC","GRAY","Citation","13-620(c)","Transportation Article","No","BLACK","M","GERMANTOWN","MD","MD","A - Marked Patrol","(39.0431434, -76.9901866166667)","Alabama"
"232366","08/28/2012","14:45:00","MCP","3rd district, Silver Spring","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","STEWART LA @ OLD COLUMBIA PIKE",39.0431434,-76.9901866166667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1991,"HOND","ACC","GRAY","Citation","13-409(b)","Transportation Article","No","BLACK","M","GERMANTOWN","MD","MD","A - Marked Patrol","(39.0431434, -76.9901866166667)","Alabama"
"232592","11/26/2013","17:40:00","MCP","2nd district, Bethesda","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","ST. PAUL ST. AT OBERON ST.",NA,NA,"No","No","No","No","No","No","No","No","No","No","AL","05 - Light Duty Truck",2002,"DODGE","PICKUP","GRAY","Citation","21-201(a1)","Transportation Article","No","WHITE","M","DEATSVILLE","AL","AL","A - Marked Patrol","","Alabama"
"232630","08/28/2012","14:45:00","MCP","3rd district, Silver Spring","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE","STEWART LA @ OLD COLUMBIA PIKE",39.0431434,-76.9901866166667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1991,"HOND","ACC","GRAY","Citation","16-303(c)","Transportation Article","No","BLACK","M","GERMANTOWN","MD","MD","A - Marked Patrol","(39.0431434, -76.9901866166667)","Alabama"
"232892","08/28/2012","14:45:00","MCP","3rd district, Silver Spring","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206 OR 27-103","STEWART LA @ OLD COLUMBIA PIKE",39.0431434,-76.9901866166667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1991,"HOND","ACC","GRAY","Citation","16-303(h)","Transportation Article","No","BLACK","M","GERMANTOWN","MD","MD","A - Marked Patrol","(39.0431434, -76.9901866166667)","Alabama"
"233089","10/08/2015","19:00:00","MCP","2nd district, Bethesda","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","HAMPDEN LN / WISCONSIN AVENUE",38.9829983333333,-77.0940333333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2014,"JEEP","WRANGLER","SILVER","Citation","13-411(f)","Transportation Article","No","OTHER","M","MOBILE","AL","AL","A - Marked Patrol","(38.9829983333333, -77.0940333333333)","Alabama"
"233152","08/28/2012","14:45:00","MCP","3rd district, Silver Spring","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION","STEWART LA @ OLD COLUMBIA PIKE",39.0431434,-76.9901866166667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1991,"HOND","ACC","GRAY","Citation","16-101(a)","Transportation Article","No","BLACK","M","GERMANTOWN","MD","MD","A - Marked Patrol","(39.0431434, -76.9901866166667)","Alabama"
"233347","10/08/2015","19:00:00","MCP","2nd district, Bethesda","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","HAMPDEN LN / WISCONSIN AVENUE",38.9829983333333,-77.0940333333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2014,"JEEP","WRANGLER","SILVER","Citation","13-401(b1)","Transportation Article","No","OTHER","M","MOBILE","AL","AL","A - Marked Patrol","(38.9829983333333, -77.0940333333333)","Alabama"
"233410","08/28/2012","14:45:00","MCP","3rd district, Silver Spring","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","STEWART LA @ OLD COLUMBIA PIKE",39.0431434,-76.9901866166667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1991,"HOND","ACC","GRAY","Citation","13-401(b)","Transportation Article","No","BLACK","M","GERMANTOWN","MD","MD","A - Marked Patrol","(39.0431434, -76.9901866166667)","Alabama"
"233608","10/08/2015","19:00:00","MCP","2nd district, Bethesda","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE","HAMPDEN LN / WISCONSIN AVENUE",38.9829983333333,-77.0940333333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2014,"JEEP","WRANGLER","SILVER","Citation","16-303(f)","Transportation Article","No","OTHER","M","MOBILE","AL","AL","A - Marked Patrol","(38.9829983333333, -77.0940333333333)","Alabama"
"233866","10/08/2015","19:00:00","MCP","2nd district, Bethesda","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION","HAMPDEN LN / WISCONSIN AVENUE",38.9829983333333,-77.0940333333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2014,"JEEP","WRANGLER","SILVER","Citation","16-101(a)","Transportation Article","No","OTHER","M","MOBILE","AL","AL","A - Marked Patrol","(38.9829983333333, -77.0940333333333)","Alabama"
